name,id,Name.1,latitude,longitude,site_code,setup_date,user_type
Beach Road,100017404,Beach Road,-36.849384,174.77441000000002,Y2H16100775,01/10/2014,Cyclists
Carlton Gore Cycle Counter,100015328,Carlton Gore Cycle Counter,-36.864329999999995,174.77254,Y2G14076121,05/08/2015,Cyclists
Curran Street Road,100026985,Curran Street Road,-36.8379847995,174.73951801040002,U15G5118789,17/11/2015,Cyclists
Curran Street Shared Path,100026328,Curran Street Shared Path,-36.8389005606,174.73939167830002,Y2H17082968,17/11/2015,Pedestrians/Cyclists
Dominion Rd City Bound,100038514,Dominion Rd City Bound,-36.8703173751,174.7527913791,Y2H17062384,25/07/2017,Cyclists
Dominion Road Outbound,100038515,Dominion Road Outbound,-36.8703730105,174.752971462,Y2H17062385,25/07/2017,Cyclists
Dominion Road Total Cyclists,100039932,Dominion Road Total Cyclists,-36.8703360696,174.7528864448,,25/07/2017,Cyclists
East Coast Road,100005391,East_Coast_Road,-36.7417274059,174.7413652477,U15G2072490,05/09/2012,Cyclists
GI TO TAMAKI DR SECTION-1,100030348,GI TO TAMAKI DR SECTION-1,-36.8736596794,174.8507525726,Y2H17041944,09/12/2016,Pedestrians/Cyclists
Grafton Bridge,100006234,Grafton Bridge,-36.860126,174.76648,U15G2072491,05/11/2012,Cyclists
Grafton Gully,100015330,Grafton Gully,-36.85538,174.76872,YUG14076131,24/09/2014,Pedestrians/Cyclists
Grafton Road,100026337,Grafton Road,-36.854042,174.77077,Y2I15108598,02/11/2015,Cyclists
Great North Rd City Bound,100038500,Great North Rd City Bound,-36.8649526665,174.7455026607,T60G3033407,15/08/2016,Cyclists
Great Nth Rd Sth Side,100033716,Great Nth Rd Sth Side,-36.8649578366,174.7459997708,Y2H16049603,30/08/2016,Cyclists
Great South Rd (Manukau) NB,100000478,Great South Rd (Manukau) NB,-36.986305,174.88058,X2H17082924,01/01/2010,Cyclists
Great South Rd (Manukau) SB,100000477,Great South Rd (Manukau) SB,-36.987255,174.8819,P60G5088267,,Cyclists
HighBrook,100000388,HighBrook,-36.950077,174.85835,X0411020714,12/08/2010,Pedestrians/Cyclists
Hopetoun Street,100026333,Hopetoun Street,-36.856093409,174.7575114754,Y2H15108595,01/11/2015,Cyclists
Karangahape Road,100015327,Karangahape Road,-36.85784,174.75693,Y2G14076120,01/10/2014,Cyclists
Lagoon Drive,100006544,Lagoon_Drive,-36.9072749291,174.8572420416,Y2G12072493,01/09/2012,Cyclists
Lake Rd NB,100000476,Lake Rd NB,-36.802654,174.78758,P60G5088268,01/06/2010,Cyclists
Lake Road SB New,100036548,Lake Road SB New,-36.8027880111,174.78765358310002,U15G7011464,28/02/2017,Cyclists
Mangere Bridge,100003721,Mangere Bridge,-36.93235,174.78625,Y2H17103359,01/09/2011,Pedestrians/Cyclists
Mangere Safe Routes,100030503,Mangere Safe Routes,-36.972203,174.79958,Y2H17052126,15/06/2016,Pedestrians/Cyclists
Matakana,100041334,Matakana,-36.35201,174.7185,Y2H17103430,18/11/2017,Pedestrians/Cyclists
NW Cycleway Kingsland,100000387,NW Cycleway Kingsland,-36.86867,174.7464,X0411020712,,Pedestrians/Cyclists
NW Cycleway TeAtatu,100000474,NW Cycleway TeAtatu,-36.858467,174.65372,T60G6039315,01/07/2010,Cyclists
Nelson Street,100025309,Nelson Street,-36.849887121,174.7590002356,Y2H15098437,05/11/2015,Cyclists
Nelson Street Lightpath bikes 8 loop,100036715,Nelson Street Lightpath bikes 8 loop,-36.8534709658,174.7575753902,Y2H15118777,02/12/2015,Cyclists
Oceanview Rd Waiheke,100041970,Oceanview Rd Waiheke,-36.78378,175.01155,Y2H17113728,01/12/2017,Cyclists
Orewa Path,100000386,Orewa Path,-36.59635,174.69415,Y2H16059712,01/08/2010,Pedestrians/Cyclists
Ormiston Rd Sth,100041395,Ormiston Rd Sth,-36.96505,174.90946,Y2H17103457,15/11/2017,Cyclists
Ormiston Rd Total Cyclists,100041881,Ormiston Rd Total Cyclists,-36.9650562779,174.9093223526,,15/11/2017,Cyclists
Ormiston Road Nth,100041394,Ormiston Road Nth,-36.96518,174.90931,Y2H17103456,15/11/2017,Cyclists
Pukekohe - Queen St,100041396,Pukekohe - Queen St,-37.203671,174.900707,Y2H17103445,21/11/2017,Cyclists
Quay St Spark Arena,100026334,Quay St Spark Arena,-36.8466607982,174.7775761423,Y2H15108596,01/11/2015,Cyclists
Quay St Spark Arena Shared Pathway,100026329,Quay St Spark Arena Shared Pathway,-36.846493055399996,174.7778419492,Y2H15108591,01/11/2015,Cyclists
Quay St Totem UZELT,100041314,Quay St Totem UZELT,-36.8428084588,174.7655978803,Y2H16059869,08/07/2016,Cyclists
Rankin Ave,100043526,Rankin Ave,-36.9120504399,174.68213990819999,YAH16049604,23/01/2018,Pedestrians/Cyclists
SW Shared Path,100004935,SW Shared Path,-36.912453,174.73967,Y2G13073978,29/10/2012,Pedestrians/Cyclists
Saint Lukes Rd NB,100037137,Saint Lukes Rd NB,-36.871662576700004,174.7254684302,Y2H17031805,16/05/2017,Cyclists
Saint Lukes Rd SB,100037138,Saint Lukes Rd SB,-36.8712976657,174.72571586520002,Y2H17031806,16/05/2017,Cyclists
Symonds Street City Bound,100015324,Symonds Street City Bound,-36.859802,174.7626,Y2G14076165,30/09/2014,Cyclists
Symonds Street Sth Bound,100015326,Symonds Street Sth Bound,-36.860209999999995,174.76268000000002,Y2G14076119,01/10/2014,Cyclists
Tamaki Drive EB,100000827,Tamaki Drive EB,-36.847782,174.78935,ECO08011685,12/11/2009,Cyclists
Tamaki Drive WB,100003810,Tamaki Drive WB,-36.847941999999996,174.78903,U15G2011813,26/03/2012,Cyclists
TeWero Bridge Bike Counter,100018198,TeWero Bridge Bike Counter,-36.84148,174.76064,Y2H14116836,09/06/2015,Cyclists
Twin Streams,100000385,Twin Streams,-36.878807,174.62413,X0H16059831,01/04/2010,Pedestrians/Cyclists
Upper Harbour,100015822,Upper Harbour,-36.782309999999995,174.67536,Y2H17124004,,Pedestrians/Cyclists
Upper Queen Street,100026336,Upper Queen Street,-36.8593374679,174.760673934,Y2H15108599,01/11/2015,Cyclists
Victoria Street West On Rd,100026335,Victoria Street West On Rd,-36.848075061100005,174.7539103416,Y2H15108597,01/11/2015,Cyclists
Victoria Street West Shared Path,100026330,Victoria Street West Shared Path,-36.8480187186,174.75355816759998,Y2H15108592,01/11/2015,Cyclists
Waterview Unitec Counter,100038150,Waterview Unitec Counter,-36.8802153779,174.7050452911,Y2H17052296,28/07/2017,Pedestrians/Cyclists
