datetime,Beach Road,Carlton Gore Cycle Counter,Curran Street Road,Curran Street Shared Path,Dominion Rd City Bound,Dominion Road Outbound,East Coast Road,GI TO TAMAKI DR SECTION-1,Grafton Bridge,Grafton Gully,Grafton Road,Great North Rd City Bound,Great Nth Rd Sth Side,Great South Rd (Manukau) NB,Great South Rd (Manukau) SB,HighBrook,Hopetoun Street,Karangahape Road,Lagoon Drive,Lake Rd NB,Lake Road SB New,Mangere Bridge,Mangere Safe Routes,Matakana,NW Cycleway Kingsland,NW Cycleway TeAtatu,Nelson Street,Nelson Street Lightpath bikes 8 loop,Oceanview Rd Waiheke,Orewa Path,Ormiston Rd Sth,Ormiston Road Nth,Pukekohe - Queen St,Quay St Spark Arena,Quay St Spark Arena Shared Pathway,Quay St Totem UZELT,Rankin Ave,SW Shared Path,Saint Lukes Rd NB,Saint Lukes Rd SB,Symonds Street City Bound,Symonds Street Sth Bound,Tamaki Drive EB,Tamaki Drive WB,TeWero Bridge Bike Counter,Twin Streams,Upper Queen Street,Victoria Street West On Rd,Victoria Street West Shared Path,Waterview Unitec Counter
2011-01-01 00:00:00,,,,,,,,,,,,,,0,2,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,5,,,0.0,,,,
2011-01-01 01:00:00,,,,,,,,,,,,,,0,0,0.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,5,,,1.0,,,,
2011-01-01 02:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,4,,,0.0,,,,
2011-01-01 03:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0,,,,
2011-01-01 04:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1,,,0.0,,,,
2011-01-01 05:00:00,,,,,,,,,,,,,,0,0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,5,,,0.0,,,,
2011-01-01 06:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,7,,,0.0,,,,
2011-01-01 07:00:00,,,,,,,,,,,,,,0,3,0.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,19,,,2.0,,,,
2011-01-01 08:00:00,,,,,,,,,,,,,,2,1,8.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,41,,,1.0,,,,
2011-01-01 09:00:00,,,,,,,,,,,,,,1,0,3.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,49,,,10.0,,,,
2011-01-01 10:00:00,,,,,,,,,,,,,,4,1,2.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,40,,,25.0,,,,
2011-01-01 11:00:00,,,,,,,,,,,,,,1,3,3.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,47,,,22.0,,,,
2011-01-01 12:00:00,,,,,,,,,,,,,,0,4,3.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,42,,,10.0,,,,
2011-01-01 13:00:00,,,,,,,,,,,,,,1,2,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,34,,,1.0,,,,
2011-01-01 14:00:00,,,,,,,,,,,,,,3,1,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,33,,,3.0,,,,
2011-01-01 15:00:00,,,,,,,,,,,,,,1,2,3.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,36,,,0.0,,,,
2011-01-01 16:00:00,,,,,,,,,,,,,,1,1,0.0,,,,6.0,,,,,,,,,,9.0,,,,,,,,,,,,,18,,,0.0,,,,
2011-01-01 17:00:00,,,,,,,,,,,,,,1,0,1.0,,,,9.0,,,,,9.0,,,,,25.0,,,,,,,,,,,,,32,,,,,,,
2011-01-01 18:00:00,,,,,,,,,,,,,,2,0,0.0,,,,2.0,,,,,18.0,,,,,13.0,,,,,,,,,,,,,32,,,,,,,
2011-01-01 19:00:00,,,,,,,,,,,,,,2,0,3.0,,,,8.0,,,,,8.0,,,,,9.0,,,,,,,,,,,,,21,,,,,,,
2011-01-01 20:00:00,,,,,,,,,,,,,,0,1,1.0,,,,5.0,,,,,7.0,,,,,21.0,,,,,,,,,,,,,15,,,,,,,
2011-01-01 21:00:00,,,,,,,,,,,,,,1,1,0.0,,,,2.0,,,,,2.0,,,,,5.0,,,,,,,,,,,,,8,,,,,,,
2011-01-01 22:00:00,,,,,,,,,,,,,,0,2,0.0,,,,0.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,8,,,,,,,
2011-01-01 23:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,,1,,,,,,,
2011-01-02 00:00:00,,,,,,,,,,,,,,1,0,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0,,,,,,,
2011-01-02 01:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0,,,,,,,
2011-01-02 02:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,2,,,,,,,
2011-01-02 03:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0,,,,,,,
2011-01-02 04:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0,,,,,,,
2011-01-02 05:00:00,,,,,,,,,,,,,,1,1,0.0,,,,0.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,,3,,,,,,,
2011-01-02 06:00:00,,,,,,,,,,,,,,3,6,0.0,,,,2.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,13,,,,,,,
2011-01-02 07:00:00,,,,,,,,,,,,,,1,18,0.0,,,,14.0,,,,,2.0,,,,,0.0,,,,,,,,,,,,,53,,,,,,,
2011-01-02 08:00:00,,,,,,,,,,,,,,2,10,8.0,,,,11.0,,,,,7.0,,,,,4.0,,,,,,,,,,,,,93,,,,,,,
2011-01-02 09:00:00,,,,,,,,,,,,,,4,8,3.0,,,,17.0,,,,,17.0,,,,,17.0,,,,,,,,,,,,,77,,,,,,,
2011-01-02 10:00:00,,,,,,,,,,,,,,5,5,2.0,,,,11.0,,,,,17.0,,,,,26.0,,,,,,,,,,,,,93,,,,,,,
