datetime,Tamaki Drive EB
2010-07-01,570.0
2010-07-02,473.0
2010-07-03,766.0
2010-07-04,240.0
2010-07-05,172.0
2010-07-06,423.0
2010-07-07,401.0
2010-07-08,496.0
2010-07-09,915.0
2010-07-10,646.0
2010-07-11,453.0
2010-07-12,340.0
2010-07-13,551.0
2010-07-14,505.0
2010-07-15,318.0
2010-07-16,506.0
2010-07-17,650.0
2010-07-18,413.0
2010-07-19,612.0
2010-07-20,361.0
2010-07-21,347.0
2010-07-22,338.0
2010-07-23,906.0
2010-07-24,736.0
2010-07-25,441.0
2010-07-26,468.0
2010-07-27,405.0
2010-07-28,491.0
2010-07-29,554.0
2010-07-30,769.0
2010-07-31,537.0
2010-08-01,283.0
2010-08-02,415.0
2010-08-03,250.0
2010-08-04,416.0
2010-08-05,532.0
2010-08-06,403.0
2010-08-07,430.0
2010-08-08,391.0
2010-08-09,635.0
2010-08-10,530.0
2010-08-11,566.0
2010-08-12,270.0
2010-08-13,104.0
2010-08-14,626.0
2010-08-15,479.0
2010-08-16,477.0
2010-08-17,364.0
2010-08-18,411.0
2010-08-19,347.0
2010-08-20,424.0
2010-08-21,503.0
2010-08-22,322.0
2010-08-23,587.0
2010-08-24,401.0
2010-08-25,445.0
2010-08-26,277.0
2010-08-27,642.0
2010-08-28,471.0
2010-08-29,401.0
2010-08-30,549.0
2010-08-31,628.0
2010-09-01,409.0
2010-09-02,336.0
2010-09-03,472.0
2010-09-04,633.0
2010-09-05,326.0
2010-09-06,259.0
2010-09-07,598.0
2010-09-08,467.0
2010-09-09,593.0
2010-09-10,583.0
2010-09-11,934.0
2010-09-12,453.0
2010-09-13,503.0
2010-09-14,613.0
2010-09-15,449.0
2010-09-16,244.0
2010-09-17,548.0
2010-09-18,282.0
2010-09-19,267.0
2010-09-20,383.0
2010-09-21,392.0
2010-09-22,262.0
2010-09-23,356.0
2010-09-24,433.0
2010-09-25,544.0
2010-09-26,700.0
2010-09-27,595.0
2010-09-28,843.0
2010-09-29,731.0
2010-09-30,398.0
2010-10-01,282.0
2010-10-02,823.0
2010-10-03,949.0
2010-10-04,757.0
2010-10-05,860.0
2010-10-06,694.0
2010-10-07,650.0
2010-10-08,591.0
2010-10-09,603.0
2010-10-10,943.0
2010-10-11,291.0
2010-10-12,671.0
2010-10-13,398.0
2010-10-14,658.0
2010-10-15,564.0
2010-10-16,1123.0
2010-10-17,477.0
2010-10-18,441.0
2010-10-19,746.0
2010-10-20,507.0
2010-10-21,430.0
2010-10-22,551.0
2010-10-23,954.0
2010-10-24,909.0
2010-10-25,1031.0
2010-10-26,840.0
2010-10-27,755.0
2010-10-28,765.0
2010-10-29,732.0
2010-10-30,741.0
2010-10-31,624.0
2010-11-01,695.0
2010-11-02,873.0
2010-11-03,752.0
2010-11-04,701.0
2010-11-05,354.0
2010-11-06,882.0
2010-11-07,881.0
2010-11-08,688.0
2010-11-09,843.0
2010-11-10,821.0
2010-11-11,608.0
2010-11-12,512.0
2010-11-13,996.0
2010-11-14,759.0
2010-11-15,580.0
2010-11-16,980.0
2010-11-17,814.0
2010-11-18,708.0
2010-11-19,527.0
2010-11-20,768.0
2010-11-21,349.0
2010-11-22,584.0
2010-11-23,653.0
2010-11-24,753.0
2010-11-25,633.0
2010-11-26,522.0
2010-11-27,795.0
2010-11-28,769.0
2010-11-29,718.0
2010-11-30,909.0
2010-12-01,721.0
2010-12-02,733.0
2010-12-03,653.0
2010-12-04,864.0
2010-12-05,855.0
2010-12-06,612.0
2010-12-07,660.0
2010-12-08,734.0
2010-12-09,670.0
2010-12-10,586.0
2010-12-11,714.0
