,Amount(Hrs)
2012-01-01,0.06250000000000001
2012-01-02,0.16666666666666666
2012-01-03,0.26666666666666666
2012-01-04,0.11666666666666667
2012-01-05,0.21666666666666667
2012-01-06,0.4583333333333333
2012-01-07,0.0
2012-01-08,0.0
2012-01-09,0.3125
2012-01-10,0.0
2012-01-11,0.3125
2012-01-12,0.2625
2012-01-13,0.6375000000000001
2012-01-14,0.35
2012-01-15,0.5666666666666667
2012-01-16,0.55
2012-01-17,0.1875
2012-01-18,0.6083333333333333
2012-01-19,0.7958333333333334
2012-01-20,0.7875
2012-01-21,0.41666666666666663
2012-01-22,0.26666666666666666
2012-01-23,0.8875
2012-01-24,0.9125
2012-01-25,0.8708333333333333
2012-01-26,0.6875
2012-01-27,0.2958333333333333
2012-01-28,0.22499999999999998
2012-01-29,0.33749999999999997
2012-01-30,0.7000000000000002
2012-01-31,0.2458333333333333
2012-02-01,0.7375
2012-02-02,0.049999999999999996
2012-02-03,0.0
2012-02-04,0.2791666666666667
2012-02-05,0.18333333333333332
2012-02-06,0.025
2012-02-07,0.4375
2012-02-08,0.4583333333333333
2012-02-09,0.6833333333333333
2012-02-10,0.825
2012-02-11,0.2833333333333333
2012-02-12,0.0
2012-02-13,0.5625
2012-02-14,0.6291666666666667
2012-02-15,0.3833333333333333
2012-02-16,0.675
2012-02-17,0.3125
2012-02-18,0.8125
2012-02-19,0.7833333333333333
2012-02-20,0.5375000000000001
2012-02-21,0.15000000000000002
2012-02-22,0.0
2012-02-23,0.016666666666666666
2012-02-24,0.48750000000000004
2012-02-25,0.5041666666666667
2012-02-26,0.525
2012-02-27,0.5375
2012-02-28,0.49583333333333335
2012-02-29,0.14583333333333334
2012-03-01,0.325
2012-03-02,0.0
2012-03-03,0.3666666666666667
2012-03-04,0.7416666666666667
2012-03-05,0.35833333333333334
2012-03-06,0.029166666666666667
2012-03-07,0.0
2012-03-08,0.0
2012-03-09,0.7583333333333333
2012-03-10,0.22083333333333335
2012-03-11,0.0
2012-03-12,0.06666666666666667
2012-03-13,0.5375
2012-03-14,0.44166666666666665
2012-03-15,0.5125
2012-03-16,0.7125
2012-03-17,0.32916666666666666
2012-03-18,0.2375
2012-03-19,0.0
2012-03-20,0.0
2012-03-21,0.0
2012-03-22,0.375
2012-03-23,0.6375
2012-03-24,0.11249999999999999
2012-03-25,0.46249999999999997
2012-03-26,0.5041666666666667
2012-03-27,0.6458333333333333
2012-03-28,0.5499999999999999
2012-03-29,0.4291666666666667
2012-03-30,0.2625
2012-03-31,0.6625
2012-04-01,0.46249999999999997
2012-04-02,0.15
2012-04-03,0.15
2012-04-04,0.4125
2012-04-05,0.5541666666666667
2012-04-06,0.7333333333333334
2012-04-07,0.25
2012-04-08,0.6083333333333334
2012-04-09,0.6833333333333333
2012-04-10,0.5666666666666667
2012-04-11,0.075
2012-04-12,0.12916666666666668
2012-04-13,0.2583333333333333
2012-04-14,0.45833333333333337
2012-04-15,0.03333333333333333
2012-04-16,0.6291666666666667
2012-04-17,0.5583333333333333
2012-04-18,0.5625
2012-04-19,0.24166666666666667
2012-04-20,0.075
2012-04-21,0.2125
2012-04-22,0.4625
2012-04-23,0.6416666666666667
2012-04-24,0.5750000000000001
2012-04-25,0.5083333333333334
2012-04-26,0.25
2012-04-27,0.17916666666666667
2012-04-28,0.24583333333333335
2012-04-29,0.13333333333333333
2012-04-30,0.0125
2012-05-01,0.25416666666666665
2012-05-02,0.6083333333333333
2012-05-03,0.5750000000000001
2012-05-04,0.625
2012-05-05,0.4583333333333333
2012-05-06,0.48333333333333334
2012-05-07,0.23333333333333334
2012-05-08,0.0
2012-05-09,0.11666666666666665
2012-05-10,0.11666666666666665
2012-05-11,0.4291666666666667
2012-05-12,0.44166666666666665
2012-05-13,0.05416666666666667
2012-05-14,0.049999999999999996
2012-05-15,0.13333333333333333
2012-05-16,0.075
2012-05-17,0.4125
2012-05-18,0.22499999999999998
2012-05-19,0.20833333333333334
2012-05-20,0.25
2012-05-21,0.0625
2012-05-22,0.5416666666666667
2012-05-23,0.4041666666666667
2012-05-24,0.3166666666666667
2012-05-25,0.27083333333333337
2012-05-26,0.0625
2012-05-27,0.075
2012-05-28,0.0
2012-05-29,0.29583333333333334
2012-05-30,0.23333333333333334
2012-05-31,0.41666666666666663
2012-06-01,0.45
2012-06-02,0.175
2012-06-03,0.075
2012-06-04,0.2708333333333333
2012-06-05,0.0
2012-06-06,0.016666666666666666
2012-06-07,0.23333333333333334
2012-06-08,0.19583333333333333
2012-06-09,0.26249999999999996
2012-06-10,0.025
2012-06-11,0.23333333333333334
2012-06-12,0.18333333333333335
2012-06-13,0.49583333333333335
2012-06-14,0.4291666666666667
2012-06-15,0.13333333333333333
