,Tmax(C),Tmin(C),Tgmin(C),Tmean(C),RHmean(%)
2012-01-01,19.779999999999998,19.32,19.580000000000002,19.580000000000002,92.6
2012-01-02,17.919999999999998,17.36,17.32,17.7,79.2
2012-01-03,17.24,16.64,17.1,16.900000000000002,87.2
2012-01-04,18.919999999999998,18.3,18.400000000000002,18.6,82.0
2012-01-05,18.339999999999996,17.72,17.96,18.02,87.8
2012-01-06,18.1,17.06,16.82,17.560000000000002,78.2
2012-01-07,17.52,17.139999999999997,16.82,17.360000000000003,87.2
2012-01-08,16.8,16.3,15.920000000000002,16.560000000000002,89.4
2012-01-09,19.259999999999998,17.96,17.66,18.46,87.4
2012-01-10,17.659999999999997,17.28,17.18,17.46,92.2
2012-01-11,16.78,15.320000000000002,15.02,16.06,89.2
2012-01-12,19.02,18.080000000000002,18.119999999999997,18.5,83.6
2012-01-13,18.7,17.8,17.68,18.18,78.6
2012-01-14,17.76,16.38,15.34,17.04,76.6
2012-01-15,17.46,16.419999999999998,16.36,16.96,85.2
2012-01-16,18.059999999999995,17.28,17.259999999999998,17.6,74.8
2012-01-17,15.920000000000002,14.320000000000002,13.680000000000001,15.1,78.4
2012-01-18,17.240000000000002,15.580000000000002,15.319999999999999,16.46,81.2
2012-01-19,17.52,16.48,16.380000000000003,16.939999999999998,82.2
2012-01-20,18.88,17.520000000000003,17.5,18.18,81.6
2012-01-21,19.2,18.419999999999998,18.96,18.78,81.8
2012-01-22,18.04,17.7,17.48,17.84,81.4
2012-01-23,15.98,15.219999999999999,15.3,15.62,58.4
2012-01-24,14.360000000000003,12.88,12.440000000000001,13.6,61.0
2012-01-25,18.12,17.080000000000002,17.54,17.580000000000002,79.6
2012-01-26,18.02,17.0,17.060000000000002,17.540000000000003,70.4
2012-01-27,18.14,17.259999999999998,16.86,17.619999999999997,78.0
2012-01-28,15.419999999999998,14.180000000000001,14.039999999999997,14.66,65.0
2012-01-29,17.560000000000002,16.78,16.740000000000002,17.2,75.2
2012-01-30,17.94,16.499999999999996,15.819999999999999,17.259999999999998,82.6
2012-01-31,18.86,17.78,17.0,18.44,79.6
2012-02-01,18.68,17.459999999999997,17.080000000000002,17.98,87.8
2012-02-02,17.8,17.32,17.419999999999998,17.499999999999996,94.0
2012-02-03,17.740000000000002,17.259999999999998,17.02,17.5,86.2
2012-02-04,18.240000000000002,17.5,17.8,17.86,69.0
2012-02-05,17.560000000000002,16.5,16.8,17.02,74.0
2012-02-06,16.74,15.940000000000001,15.719999999999999,16.259999999999998,79.0
2012-02-07,16.419999999999998,14.940000000000001,14.540000000000001,15.6,75.6
2012-02-08,16.96,15.439999999999998,14.6,16.160000000000004,86.2
2012-02-09,18.2,17.200000000000003,16.839999999999996,17.68,85.4
2012-02-10,18.6,17.28,16.139999999999997,17.940000000000005,89.0
2012-02-11,18.9,18.1,17.2,18.48,88.8
2012-02-12,17.059999999999995,16.34,15.9,16.68,84.0
2012-02-13,18.759999999999998,17.880000000000003,17.74,18.38,93.6
2012-02-14,17.880000000000003,16.76,15.98,17.339999999999996,86.8
2012-02-15,18.619999999999997,18.02,17.800000000000004,18.32,93.4
2012-02-16,18.86,17.479999999999997,16.979999999999997,18.1,89.4
2012-02-17,18.82,17.240000000000002,17.080000000000002,18.0,85.4
2012-02-18,17.48,15.940000000000001,14.860000000000003,16.66,93.4
2012-02-19,17.54,16.060000000000002,15.3,16.8,89.4
2012-02-20,19.259999999999998,18.240000000000002,18.240000000000002,18.7,81.2
2012-02-21,18.86,17.580000000000002,16.54,18.1,88.6
2012-02-22,21.18,20.78,20.42,20.96,84.2
2012-02-23,21.9,21.48,21.139999999999997,21.639999999999997,90.6
2012-02-24,19.080000000000002,18.32,17.8,18.660000000000004,81.2
2012-02-25,17.919999999999998,16.979999999999997,16.14,17.419999999999998,68.0
2012-02-26,16.32,15.219999999999999,14.540000000000001,15.780000000000001,79.0
2012-02-27,16.419999999999998,15.3,14.419999999999998,15.819999999999999,80.8
2012-02-28,15.959999999999999,14.76,13.38,15.48,79.8
2012-02-29,16.8,15.839999999999998,15.38,16.3,92.8
2012-03-01,17.880000000000003,17.4,16.619999999999997,17.6,85.2
2012-03-02,17.060000000000002,16.52,15.919999999999998,16.8,68.0
2012-03-03,16.619999999999997,15.4,14.079999999999998,15.959999999999999,77.2
2012-03-04,13.219999999999999,11.56,9.34,12.42,65.4
2012-03-05,12.3,10.7,9.02,11.48,87.6
2012-03-06,14.66,13.420000000000002,12.760000000000002,14.040000000000001,86.8
2012-03-07,15.1,14.3,14.36,14.64,81.0
2012-03-08,17.3,16.919999999999998,15.860000000000003,17.080000000000002,83.4
2012-03-09,14.540000000000001,13.419999999999998,12.86,14.0,71.0
2012-03-10,15.74,14.76,13.939999999999998,15.26,79.0
2012-03-11,18.82,18.42,18.04,18.619999999999997,90.6
2012-03-12,16.28,15.7,14.84,16.02,95.0
2012-03-13,17.82,17.340000000000003,17.46,17.559999999999995,76.8
2012-03-14,15.419999999999998,13.940000000000001,12.680000000000001,14.680000000000001,78.8
2012-03-15,15.879999999999999,14.820000000000002,13.4,15.3,81.8
2012-03-16,13.74,11.96,9.66,12.819999999999999,87.0
2012-03-17,17.06,16.32,15.179999999999998,16.660000000000004,80.4
2012-03-18,16.339999999999996,14.7,12.9,15.5,86.8
2012-03-19,16.8,16.439999999999998,16.2,16.619999999999997,94.6
2012-03-20,16.16,15.719999999999999,14.919999999999998,15.98,87.2
2012-03-21,18.86,18.18,18.119999999999997,18.479999999999997,93.2
2012-03-22,16.82,15.86,14.34,16.34,92.0
2012-03-23,18.8,18.0,17.82,18.3,92.0
2012-03-24,18.86,18.0,17.74,18.4,89.4
2012-03-25,18.0,17.0,16.96,17.380000000000003,93.4
2012-03-26,15.88,15.12,14.3,15.459999999999999,71.8
2012-03-27,12.36,10.8,8.72,11.639999999999999,91.4
2012-03-28,13.3,11.8,9.8,12.52,93.0
2012-03-29,13.919999999999998,12.26,10.2,13.120000000000001,90.8
2012-03-30,12.640000000000002,11.5,9.74,12.059999999999999,84.0
2012-03-31,13.219999999999999,11.440000000000001,9.6,12.38,92.0
2012-04-01,14.8,13.500000000000004,12.24,14.12,90.2
2012-04-02,16.68,16.06,15.24,16.36,77.0
2012-04-03,17.140000000000004,16.279999999999998,15.1,16.72,75.2
2012-04-04,19.0,18.060000000000002,17.28,18.46,68.6
2012-04-05,19.18,18.080000000000002,16.560000000000002,18.62,72.2
2012-04-06,13.9,12.66,10.12,13.219999999999999,74.8
2012-04-07,12.739999999999998,10.9,8.32,11.8,82.8
2012-04-08,14.620000000000001,13.7,12.16,14.180000000000001,73.0
2012-04-09,16.139999999999997,15.1,13.34,15.639999999999997,79.8
2012-04-10,14.179999999999998,12.44,9.639999999999997,13.160000000000002,93.8
2012-04-11,16.5,15.460000000000003,14.120000000000001,15.940000000000001,84.2
2012-04-12,16.779999999999998,16.080000000000002,14.8,16.38,88.8
2012-04-13,16.58,16.0,15.040000000000001,16.3,77.0
2012-04-14,16.54,16.04,15.319999999999999,16.3,76.6
2012-04-15,13.64,12.9,11.540000000000001,13.219999999999999,94.2
2012-04-16,13.679999999999998,12.219999999999999,9.760000000000002,12.879999999999999,95.2
2012-04-17,15.819999999999999,14.719999999999999,14.0,15.219999999999999,81.8
2012-04-18,13.539999999999997,12.479999999999999,9.8,13.040000000000001,95.4
2012-04-19,9.5,7.779999999999999,3.3200000000000003,8.6,80.0
2012-04-20,11.58,10.76,8.9,11.16,87.4
2012-04-21,11.16,9.400000000000002,5.86,10.2,89.8
2012-04-22,10.379999999999999,9.14,6.24,9.760000000000002,90.6
2012-04-23,10.6,9.06,5.68,9.819999999999999,91.4
2012-04-24,10.78,8.919999999999998,5.04,9.86,94.2
2012-04-25,15.12,13.680000000000001,10.02,14.38,69.6
2012-04-26,12.319999999999999,10.6,7.619999999999999,11.459999999999999,94.0
2012-04-27,18.779999999999998,18.220000000000002,17.74,18.48,90.6
2012-04-28,16.36,15.639999999999997,13.3,15.98,78.0
2012-04-29,15.319999999999999,14.780000000000001,13.540000000000001,15.059999999999999,76.4
2012-04-30,15.6,14.819999999999999,13.620000000000001,15.14,85.4
2012-05-01,14.319999999999999,13.66,11.64,13.959999999999999,74.6
2012-05-02,9.24,7.720000000000001,3.2600000000000002,8.52,73.0
2012-05-03,6.380000000000001,4.9,-0.3,5.68,88.0
2012-05-04,7.42,6.0,1.3599999999999999,6.720000000000001,93.0
2012-05-05,7.94,6.340000000000001,1.3199999999999998,7.12,94.8
2012-05-06,10.78,9.7,7.6,10.22,85.0
2012-05-07,11.98,11.080000000000002,9.78,11.499999999999998,83.8
2012-05-08,16.139999999999997,15.3,13.6,15.62,86.0
2012-05-09,15.48,15.0,14.36,15.24,93.6
2012-05-10,13.0,12.419999999999998,12.680000000000001,12.7,97.8
2012-05-11,14.420000000000002,13.680000000000001,12.52,14.0,81.4
2012-05-12,14.979999999999999,14.180000000000001,13.1,14.6,77.4
2012-05-13,14.52,13.639999999999997,11.36,14.080000000000002,94.6
2012-05-14,16.78,16.36,14.76,16.54,79.4
2012-05-15,12.319999999999999,11.68,10.84,11.959999999999999,91.6
2012-05-16,12.5,11.719999999999999,10.459999999999999,12.1,87.0
2012-05-17,12.48,11.42,9.58,11.82,74.4
2012-05-18,14.279999999999998,13.5,12.72,13.819999999999999,71.4
2012-05-19,12.620000000000001,11.92,10.680000000000001,12.280000000000001,79.2
2012-05-20,8.2,6.4,4.36,7.12,94.8
2012-05-21,9.84,8.780000000000001,6.5,9.3,89.6
2012-05-22,8.76,7.74,5.12,8.24,93.6
