,Dir(DegT),Speed(m/s)
2011-01-01,217.4,7.62
2011-01-02,189.4,1.8399999999999999
2011-01-03,157.2,0.7200000000000001
2011-01-04,227.4,1.3800000000000001
2011-01-05,65.8,3.0
2011-01-06,39.6,6.88
2011-01-07,159.2,2.5599999999999996
2011-01-08,200.6,5.0600000000000005
2011-01-09,114.0,2.88
2011-01-10,138.6,1.8399999999999999
2011-01-11,161.8,0.76
2011-01-12,323.2,3.2
2011-01-13,196.8,3.8
2011-01-14,152.4,0.9
2011-01-15,152.2,1.7
2011-01-16,207.0,1.5
2011-01-17,86.2,1.0399999999999998
2011-01-18,34.4,6.5
2011-01-19,223.0,8.76
2011-01-20,187.8,3.5599999999999996
2011-01-21,122.6,3.6
2011-01-22,151.2,3.44
2011-01-23,141.2,5.08
2011-01-24,269.4,11.74
2011-01-25,210.0,4.0200000000000005
2011-01-26,188.2,1.9600000000000002
2011-01-27,204.8,3.5400000000000005
2011-01-28,80.8,2.52
2011-01-29,228.8,12.16
2011-01-30,222.4,5.720000000000001
2011-01-31,272.4,5.859999999999999
2011-02-01,216.8,4.04
2011-02-02,227.4,4.0600000000000005
2011-02-03,239.0,6.200000000000001
2011-02-04,259.4,5.18
2011-02-05,238.8,4.18
2011-02-06,222.6,3.06
2011-02-07,318.4,1.8800000000000001
2011-02-08,180.4,0.8400000000000001
2011-02-09,209.6,3.4200000000000004
2011-02-10,203.6,4.9799999999999995
2011-02-11,155.6,1.7000000000000004
2011-02-12,63.8,4.24
2011-02-13,58.8,3.0799999999999996
2011-02-14,174.8,1.1600000000000001
2011-02-15,215.4,4.339999999999999
2011-02-16,74.0,2.6000000000000005
2011-02-17,115.0,2.38
2011-02-18,101.2,1.5399999999999998
2011-02-19,175.2,0.8200000000000001
2011-02-20,78.2,1.34
2011-02-21,140.8,1.8
2011-02-22,69.0,2.04
2011-02-23,216.6,4.74
2011-02-24,202.4,5.5200000000000005
2011-02-25,203.6,6.0200000000000005
2011-02-26,207.6,5.48
2011-02-27,211.6,6.4799999999999995
2011-02-28,131.4,1.48
2011-03-01,66.4,1.4000000000000001
2011-03-02,215.0,3.56
2011-03-03,172.0,2.16
2011-03-04,77.2,3.8200000000000003
2011-03-05,83.0,5.2
2011-03-06,217.8,8.48
2011-03-07,159.6,2.4200000000000004
2011-03-08,188.4,1.5799999999999998
2011-03-09,155.6,0.9799999999999999
2011-03-10,114.2,0.8800000000000001
2011-03-11,116.2,0.68
2011-03-12,106.2,0.82
2011-03-13,155.2,0.6599999999999999
2011-03-14,97.2,1.0
2011-03-15,112.0,1.0
2011-03-16,76.2,1.8399999999999999
2011-03-17,68.0,2.06
2011-03-18,199.2,1.6199999999999999
2011-03-19,206.2,2.4
2011-03-20,195.4,0.7
2011-03-21,115.4,2.08
2011-03-22,179.6,4.7
2011-03-23,170.6,1.3599999999999999
2011-03-24,121.0,2.62
2011-03-25,64.0,5.68
2011-03-26,47.2,5.92
2011-03-27,323.8,2.2399999999999998
2011-03-28,207.4,7.5
2011-03-29,174.8,0.82
2011-03-30,175.2,1.06
2011-03-31,144.6,0.8400000000000001
2011-04-01,213.2,2.16
2011-04-02,56.4,0.9799999999999999
2011-04-03,69.8,0.9800000000000001
2011-04-04,280.6,1.52
2011-04-05,264.2,6.0
2011-04-06,228.2,5.859999999999999
2011-04-07,254.4,9.52
2011-04-08,181.4,3.6399999999999997
2011-04-09,125.4,1.0399999999999998
2011-04-10,140.8,0.9
2011-04-11,187.6,0.6
2011-04-12,142.0,1.5
2011-04-13,184.0,0.76
2011-04-14,108.2,0.86
2011-04-15,66.8,1.0
2011-04-16,30.6,5.7
2011-04-17,305.4,1.3199999999999998
2011-04-18,240.8,10.040000000000001
2011-04-19,175.0,1.3399999999999999
2011-04-20,225.4,5.340000000000001
2011-04-21,45.0,0.8
2011-04-22,133.4,0.66
2011-04-23,63.2,2.1399999999999997
2011-04-24,64.8,2.3600000000000003
2011-04-25,60.4,2.56
2011-04-26,157.2,3.2399999999999998
2011-04-27,145.4,1.1600000000000001
2011-04-28,163.8,1.4
2011-04-29,140.2,2.7600000000000002
2011-04-30,90.2,1.1400000000000001
2011-05-01,76.4,5.819999999999999
2011-05-02,61.8,7.359999999999999
2011-05-03,43.0,3.44
2011-05-04,31.8,2.7
2011-05-05,118.8,1.04
2011-05-06,97.4,1.7399999999999998
2011-05-07,105.6,1.42
2011-05-08,211.2,3.7
2011-05-09,69.4,1.06
2011-05-10,145.0,0.5800000000000001
2011-05-11,72.4,2.94
2011-05-12,43.0,1.8399999999999999
2011-05-13,22.4,3.44
2011-05-14,311.2,3.5799999999999996
2011-05-15,12.8,3.6599999999999993
2011-05-16,279.6,8.74
2011-05-17,263.8,8.2
2011-05-18,229.8,8.26
2011-05-19,219.6,6.540000000000001
2011-05-20,258.0,0.9
2011-05-21,230.8,3.1
2011-05-22,289.4,0.9399999999999998
2011-05-23,78.6,0.9400000000000001
2011-05-24,129.8,0.54
2011-05-25,30.0,5.36
2011-05-26,14.8,7.1
2011-05-27,199.0,2.7399999999999998
2011-05-28,229.2,7.0200000000000005
2011-05-29,153.8,1.04
2011-05-30,270.4,3.7599999999999993
2011-05-31,271.6,1.56
2011-06-01,223.0,3.8
2011-06-02,122.6,1.56
2011-06-03,68.4,5.540000000000001
2011-06-04,59.2,7.82
2011-06-05,34.2,1.92
2011-06-06,272.0,1.3199999999999998
2011-06-07,29.6,2.34
2011-06-08,331.8,2.3
2011-06-09,73.8,1.3000000000000003
2011-06-10,41.0,5.619999999999999
2011-06-11,208.8,2.3600000000000003
2011-06-12,175.0,1.3599999999999999
2011-06-13,218.2,5.14
2011-06-14,215.0,2.2800000000000002
2011-06-15,227.6,5.24
2011-06-16,211.2,2.8999999999999995
2011-06-17,84.4,2.62
2011-06-18,46.6,7.340000000000001
2011-06-19,152.2,4.58
2011-06-20,101.2,2.94
2011-06-21,204.2,2.96
2011-06-22,296.8,2.52
2011-06-23,25.0,4.08
2011-06-24,36.6,2.2199999999999998
2011-06-25,219.0,10.42
2011-06-26,234.0,5.76
2011-06-27,128.6,1.04
2011-06-28,340.4,2.06
2011-06-29,123.0,1.42
2011-06-30,151.2,1.1800000000000002
2011-07-01,219.2,0.8400000000000001
2011-07-02,178.2,0.58
2011-07-03,130.8,3.0800000000000005
2011-07-04,154.6,2.96
2011-07-05,221.2,5.46
2011-07-06,285.2,6.62
2011-07-07,273.2,2.6
2011-07-08,254.2,10.379999999999999
2011-07-09,279.8,8.260000000000002
2011-07-10,210.4,3.62
2011-07-11,275.0,4.42
2011-07-12,254.8,11.179999999999998
2011-07-13,298.4,4.659999999999999
2011-07-14,310.2,4.96
2011-07-15,245.0,7.380000000000001
2011-07-16,125.8,2.0
2011-07-17,84.6,0.45999999999999996
2011-07-18,98.8,0.52
2011-07-19,181.6,0.33999999999999997
2011-07-20,106.8,1.56
2011-07-21,89.2,3.8
2011-07-22,116.2,3.88
2011-07-23,87.0,2.08
2011-07-24,209.4,3.02
2011-07-25,256.2,9.98
2011-07-26,73.2,1.5399999999999998
2011-07-27,271.2,2.7
2011-07-28,277.6,2.4400000000000004
2011-07-29,233.6,5.12
2011-07-30,292.8,3.62
2011-07-31,202.0,0.9200000000000002
2011-08-01,157.4,1.26
